iter	RMSE
0	0.4818015993
1	0.4792412937
2	0.4767316351
3	0.4738121079
4	0.4710233652
5	0.4680149657
6	0.4651026135
7	0.4627843344
8	0.4601829097
9	0.4572060508
10	0.4543031397
11	0.4517925044
12	0.4493026534
13	0.4462480302
14	0.4440835579
15	0.4416804841
16	0.4395129821
17	0.4371161201
18	0.4348983439
19	0.4327906893
20	0.4305559804
21	0.4283453517
22	0.4263124289
23	0.4238732743
24	0.4214762544
25	0.4192923964
26	0.4172383724
27	0.4145891472
28	0.4122058429
29	0.4101785406
30	0.4092726792
31	0.4071113927
32	0.4055931037
33	0.4042941376
34	0.4027461762
35	0.4009907194
36	0.3998688893
37	0.3984142793
38	0.3964851037
39	0.3948948367
40	0.3931906818
41	0.3922844848
42	0.3904283005
43	0.389378441
44	0.3881938263
45	0.3869424932
46	0.3858580687
47	0.3844798432
48	0.383163584
49	0.382654217
50	0.3806007081
51	0.3789225703
52	0.3781436609
53	0.3766994239
54	0.3753899191
55	0.3739518589
56	0.372758404
57	0.3711755696
58	0.3699837963
59	0.3691530993
60	0.3682817195
61	0.3668361844
62	0.3654435843
63	0.3638563747
64	0.3625599394
65	0.3610878818
66	0.3602807922
67	0.3598062332
68	0.3590652286
69	0.3573625529
70	0.3560412681
71	0.3548041128
72	0.3536722745
73	0.3528800453
74	0.3516732784
75	0.3503727698
76	0.3488580381
77	0.3479579385
78	0.3461402406
79	0.3447309988
80	0.343443646
81	0.3416983038
82	0.3408481739
83	0.3397093464
84	0.3380295266
85	0.3368774334
86	0.3356009327
87	0.3348786844
88	0.3339472777
89	0.3324374632
90	0.331609106
91	0.3308994922
92	0.3300264898
93	0.3293231049
94	0.3290948639
95	0.328238761
96	0.3272118837
97	0.326643281
98	0.325621318
99	0.3249806958
100	0.3240198123
101	0.3233892402
102	0.3224234285
103	0.3209404849
104	0.3204592667
105	0.3190479256
106	0.3184847047
107	0.3170607339
108	0.3157610773
109	0.3153881953
110	0.3145317106
111	0.3140080505
112	0.3129610939
113	0.3120112339
114	0.3107555234
115	0.3092909079
116	0.3083507028
117	0.307706492
118	0.3065053627
119	0.3061075964
120	0.3053557535
121	0.3042810332
122	0.30313804
123	0.3026510742
124	0.3017344876
125	0.301209514
126	0.3004691989
127	0.2999836774
128	0.2989864718
129	0.2986292038
130	0.297631932
131	0.2967186546
132	0.2953114586
133	0.2947522063
134	0.2942482223
135	0.2931825467
136	0.2928322976
137	0.292220288
138	0.2911136083
139	0.29051392
140	0.2894891486
141	0.2889406723
142	0.2881913615
143	0.287887734
144	0.2870279435
145	0.2862064589
146	0.2857812078
147	0.2850172259
148	0.2844245969
149	0.2834749349
150	0.282720274
151	0.2820554833
152	0.2817713515
153	0.2814346509
154	0.2809682774
155	0.280278722
156	0.2799580044
157	0.2792467954
158	0.2781033319
159	0.2771259985
160	0.2769872939
161	0.276165831
162	0.2753311398
163	0.2745406055
164	0.2741087474
165	0.2737839551
166	0.2729608538
167	0.2724121701
168	0.271533424
169	0.2707828934
170	0.2699920363
171	0.2694794625
172	0.2686881987
173	0.2684217579
174	0.2678267891
175	0.2674389525
176	0.2669141191
177	0.266372149
178	0.2655232066
179	0.2654264994
180	0.2650610117
181	0.2641423186
182	0.2637677629
183	0.2635273775
184	0.2623533136
185	0.2619806119
186	0.2614365064
187	0.2610687723
188	0.2603833473
189	0.2593574023
190	0.2588629658
191	0.2587445446
192	0.2580911195
193	0.2568772306
194	0.2565697563
195	0.2560726584
196	0.2556613328
197	0.2551881143
198	0.2542581172
199	0.2533351926
200	0.2526213282
201	0.2514209293
202	0.2513328288
203	0.2505118145
204	0.2490346905
205	0.2484689884
206	0.2476623469
207	0.2473956101
208	0.2469843716
209	0.2464131279
210	0.2458156061
211	0.2452156126
212	0.2446525341
213	0.244056887
214	0.2436856145
215	0.2431392509
216	0.2430428811
217	0.2427605524
218	0.241860869
219	0.2415112974
220	0.2407148917
221	0.2397702716
222	0.2387341266
223	0.2380167974
224	0.2375639813
225	0.2373230593
226	0.2368039602
227	0.2365199731
228	0.2355799827
229	0.2349096554
230	0.234656952
231	0.2340026495
232	0.2339205812
233	0.232864827
234	0.2327578843
235	0.2316027172
236	0.231181669
237	0.2309516577
238	0.2300124165
239	0.2292705982
240	0.2287268668
241	0.2281670134
242	0.22726509
243	0.2261142549
244	0.2258029673
245	0.2254543875
246	0.2245492785
247	0.2244238989
248	0.2237030151
249	0.2229485091
250	0.2224565564
251	0.2222069399
252	0.2220525028
253	0.2217311076
254	0.2214821228
255	0.2213470788
256	0.220930019
257	0.2203439428
258	0.2198221152
259	0.2192784845
260	0.2186298913
261	0.2179576556
262	0.217075058
263	0.2164269375
264	0.216322374
265	0.2156147445
266	0.2148298927
267	0.2140269557
268	0.2130634473
269	0.2122976878
270	0.2122248352
271	0.2111772075
272	0.2109528613
273	0.2105582874
274	0.2095641868
275	0.2087479068
276	0.2083686975
277	0.2074930548
278	0.206777649
279	0.206667897
280	0.2057793647
281	0.2056682383
282	0.2048693454
283	0.2042481831
284	0.2041738737
285	0.2034737629
286	0.2026384262
287	0.2019689241
288	0.201901842
289	0.2012016913
290	0.2006856199
291	0.2000400491
292	0.1992706946
293	0.1991997499
294	0.1984454663
295	0.1977882047
296	0.1976775993
297	0.1971939234
298	0.1964743563
299	0.1961244687
300	0.1954077523
301	0.1952663302
302	0.1952177871
303	0.1942716297
304	0.1941766338
305	0.1934970493
306	0.1930023023
307	0.1923844048
308	0.1919002789
309	0.1912216675
310	0.1905926888
311	0.1899717872
312	0.189407287
313	0.1888469544
314	0.1887369246
315	0.1878482514
316	0.1873230994
317	0.1865114446
318	0.186105273
319	0.1856155534
320	0.1851029492
321	0.184326863
322	0.1834195421
323	0.1826520259
324	0.1822478935
325	0.1816117493
326	0.1815337008
327	0.1810100308
328	0.1805243885
329	0.180047866
330	0.1798341535
331	0.1792400701
332	0.1787389785
333	0.1779211393
334	0.1778454167
335	0.1773663581
336	0.1767926493
337	0.1762208084
338	0.1754632795
339	0.1748089909
340	0.1743734443
341	0.1737940047
342	0.173261239
343	0.1727468661
344	0.1727047284
345	0.1719667781
346	0.1711732458
347	0.1705364504
348	0.1698633149
349	0.1697360713
350	0.1696845717
351	0.1693497861
352	0.1692788949
353	0.1686712656
354	0.1679997773
355	0.1675207878
356	0.1672116873
357	0.1666787316
358	0.1662743019
359	0.1661547169
360	0.1655774209
361	0.1649427746
362	0.1644389478
363	0.1636183178
364	0.1632697711
365	0.1627219937
366	0.1620018271
367	0.1619439556
368	0.1614231815
369	0.1608463416
370	0.1602037238
371	0.1601373047
372	0.1595897115
373	0.1592342643
374	0.1591746027
375	0.1589137134
376	0.158851212
377	0.1585399499
378	0.1580166805
379	0.1576155921
380	0.157570033
381	0.1569224789
382	0.1563167791
383	0.1562698821
384	0.1562063166
385	0.1555861265
386	0.1549895427
387	0.1549432188
388	0.1544145612
389	0.1535985669
390	0.1531008166
391	0.152974216
392	0.1523941252
393	0.1520054826
394	0.1514255329
395	0.150951782
396	0.1504641666
397	0.1500101786
398	0.1499237971
399	0.1496566497
400	0.1491031204
401	0.1490634307
402	0.1487979327
403	0.1482130023
404	0.1477552982
405	0.1476906905
406	0.1473290052
407	0.1471706521
408	0.1466797477
409	0.146303053
410	0.1457467165
411	0.1451463662
412	0.1447367944
413	0.1442215346
414	0.1441681032
415	0.1437795417
416	0.1436255699
417	0.1431801664
418	0.142906022
419	0.1425232295
420	0.1419346376
421	0.1413965591
422	0.1406812861
423	0.1405294169
424	0.1398839309
425	0.1394231702
426	0.1389060172
427	0.1384014949
428	0.1380014908
429	0.1374767333
430	0.137419385
431	0.1373125879
432	0.137276861
433	0.1368249322
434	0.1367489037
435	0.136280926
436	0.1358233471
437	0.1353378898
438	0.1349941916
439	0.1345897531
440	0.1342599476
441	0.1337607778
442	0.1334486339
443	0.1332319795
444	0.1328817173
445	0.1325321621
446	0.1324759365
447	0.1319294602
448	0.1315683648
449	0.1312271566
450	0.1308793369
451	0.1305055907
452	0.1304855666
453	0.1302504143
454	0.1300410044
455	0.1296735266
456	0.1293601607
457	0.1290144621
458	0.1286763739
459	0.128434467
460	0.1281195767
461	0.1277657256
462	0.1275868727
463	0.1271557909
464	0.126561425
465	0.1262804259
466	0.1258676845
467	0.1254434393
468	0.1252963036
469	0.1249483543
