iter	Passed	Remaining
0	6	6398
1	10	5318
2	15	5014
3	19	4876
4	24	4882
5	28	4760
6	32	4630
7	35	4404
8	39	4375
9	44	4398
10	48	4348
11	52	4301
12	56	4287
13	60	4255
14	64	4222
15	68	4196
16	71	4109
17	75	4105
18	79	4126
19	84	4126
20	88	4132
21	92	4121
22	96	4114
23	101	4132
24	106	4145
25	110	4134
26	114	4129
27	119	4136
28	123	4149
29	128	4143
30	131	4095
31	134	4080
32	139	4095
33	144	4091
34	148	4097
35	152	4087
36	156	4083
37	161	4078
38	165	4088
39	170	4081
40	174	4076
41	179	4083
42	183	4083
43	187	4080
44	191	4072
45	196	4073
46	201	4082
47	206	4087
48	210	4076
49	214	4082
50	219	4080
51	224	4092
52	228	4081
53	232	4078
54	237	4078
55	241	4076
56	246	4077
57	250	4072
58	255	4070
59	259	4073
60	264	4069
61	268	4066
62	273	4068
63	277	4063
64	282	4061
65	287	4066
66	290	4048
67	295	4050
68	299	4044
69	303	4032
70	306	4010
71	311	4008
72	315	4005
73	320	4005
74	323	3993
75	328	3988
76	332	3983
77	336	3979
78	341	3983
79	346	3986
80	351	3990
81	356	3995
82	360	3985
83	364	3977
84	368	3972
85	373	3968
86	377	3959
87	380	3948
88	384	3939
89	389	3936
90	393	3933
91	399	3942
92	404	3941
93	408	3941
94	413	3935
95	417	3929
96	421	3920
97	425	3914
98	429	3912
99	433	3901
100	438	3899
101	441	3889
102	445	3882
103	449	3876
104	454	3870
105	458	3869
106	462	3861
107	467	3861
108	471	3856
109	475	3848
110	478	3836
111	482	3828
112	487	3823
113	491	3817
114	495	3811
115	499	3806
116	503	3799
117	505	3780
118	510	3781
119	515	3777
120	518	3770
121	523	3767
122	527	3762
123	531	3756
124	535	3749
125	539	3742
126	543	3737
127	547	3732
128	551	3726
129	556	3724
130	558	3707
131	561	3689
132	565	3684
133	569	3678
134	572	3669
135	575	3657
136	579	3652
137	584	3651
138	594	3681
139	598	3677
140	602	3673
141	607	3669
142	611	3663
143	615	3661
144	620	3659
145	624	3651
146	628	3646
147	632	3638
148	635	3631
149	640	3630
150	644	3624
151	648	3615
152	651	3608
153	656	3604
154	660	3600
155	662	3585
156	667	3582
157	670	3574
158	674	3566
159	678	3561
160	682	3558
161	687	3554
162	690	3548
163	694	3542
164	698	3537
165	703	3532
166	707	3529
167	711	3522
168	715	3517
169	718	3509
170	723	3506
171	726	3496
172	729	3489
173	731	3473
174	735	3468
175	740	3464
176	744	3460
177	748	3456
178	752	3452
179	756	3446
180	761	3444
181	765	3440
182	769	3435
183	773	3431
184	777	3426
185	782	3423
186	785	3416
187	790	3412
188	794	3408
189	798	3406
190	802	3399
191	806	3392
192	810	3387
193	814	3383
194	818	3379
195	822	3374
196	826	3369
197	830	3365
198	835	3362
199	839	3357
200	844	3355
201	848	3353
202	854	3354
203	859	3353
204	863	3348
205	868	3346
206	872	3343
207	876	3337
208	880	3330
209	882	3318
210	885	3312
211	890	3308
212	894	3305
213	898	3301
214	902	3295
215	906	3291
216	911	3288
217	916	3285
218	920	3281
219	924	3277
220	928	3272
221	932	3268
222	936	3264
223	940	3258
224	944	3254
225	949	3251
226	953	3248
227	958	3244
228	961	3237
229	965	3232
230	970	3229
231	974	3224
232	978	3220
233	982	3215
234	986	3211
235	990	3207
236	994	3201
237	998	3197
238	1003	3194
239	1007	3189
240	1010	3181
241	1014	3177
242	1018	3173
243	1022	3168
244	1026	3164
245	1031	3160
246	1035	3157
247	1039	3153
248	1044	3149
249	1048	3144
250	1052	3141
251	1057	3137
252	1061	3133
253	1065	3129
254	1069	3125
255	1074	3121
256	1078	3119
257	1083	3117
258	1088	3113
259	1092	3108
260	1096	3105
261	1101	3102
262	1105	3097
263	1109	3093
264	1114	3090
265	1118	3085
266	1122	3081
267	1126	3077
268	1130	3073
269	1135	3068
270	1139	3064
271	1143	3059
272	1147	3054
273	1151	3049
274	1155	3045
275	1159	3041
276	1163	3037
277	1167	3032
278	1171	3028
279	1175	3023
280	1179	3018
281	1184	3014
282	1188	3012
283	1192	3007
284	1196	3002
285	1201	2998
286	1205	2994
287	1209	2990
288	1213	2986
289	1218	2982
290	1222	2979
291	1226	2974
292	1231	2970
293	1235	2966
294	1239	2961
295	1244	2959
296	1248	2956
297	1252	2951
298	1257	2947
299	1261	2943
300	1265	2939
301	1269	2934
302	1273	2930
303	1277	2925
304	1281	2921
305	1286	2917
306	1290	2913
307	1294	2908
308	1298	2904
309	1302	2899
310	1306	2895
311	1310	2890
312	1314	2885
313	1318	2880
314	1322	2876
315	1326	2872
316	1331	2868
317	1335	2863
318	1339	2859
319	1343	2855
320	1347	2850
321	1351	2846
322	1355	2841
323	1359	2837
324	1363	2832
325	1368	2828
326	1372	2824
327	1376	2819
328	1379	2814
329	1384	2810
330	1388	2806
331	1393	2803
332	1397	2798
333	1401	2793
334	1405	2789
335	1408	2784
336	1413	2780
337	1417	2775
338	1420	2770
339	1425	2766
340	1429	2762
341	1433	2757
342	1437	2753
343	1441	2749
344	1445	2744
345	1450	2742
346	1456	2739
347	1460	2736
348	1464	2732
349	1468	2728
350	1473	2723
351	1476	2718
352	1481	2714
353	1485	2710
354	1489	2705
355	1493	2701
356	1498	2698
357	1502	2694
358	1506	2690
359	1510	2685
360	1514	2680
361	1518	2676
362	1522	2671
363	1526	2667
364	1530	2661
365	1534	2657
366	1538	2652
367	1543	2650
368	1547	2646
369	1551	2641
370	1555	2637
371	1559	2632
372	1563	2627
373	1567	2623
374	1571	2619
375	1575	2614
376	1579	2610
377	1584	2607
378	1588	2603
379	1592	2598
380	1596	2593
381	1600	2589
382	1604	2585
383	1609	2581
384	1612	2576
385	1616	2572
386	1620	2567
387	1624	2562
388	1629	2558
389	1633	2554
390	1637	2551
391	1642	2547
392	1646	2542
393	1650	2538
394	1654	2533
395	1658	2530
396	1662	2525
397	1667	2521
398	1671	2517
399	1676	2514
400	1680	2510
401	1685	2506
402	1689	2502
403	1693	2498
404	1697	2493
405	1701	2489
406	1706	2485
407	1710	2482
408	1714	2477
409	1719	2474
410	1723	2470
411	1728	2466
412	1732	2462
413	1737	2459
414	1741	2455
415	1745	2451
416	1749	2446
417	1753	2441
418	1757	2437
419	1762	2433
420	1766	2429
421	1770	2425
422	1774	2421
423	1779	2416
424	1782	2411
425	1787	2408
426	1791	2404
427	1796	2400
428	1800	2396
429	1804	2392
430	1808	2387
431	1812	2383
432	1816	2378
433	1820	2374
434	1825	2371
435	1829	2367
436	1833	2362
437	1838	2358
438	1842	2354
439	1846	2350
440	1850	2345
441	1854	2341
442	1858	2336
443	1862	2332
444	1866	2327
445	1870	2323
446	1874	2319
447	1878	2315
448	1882	2310
449	1887	2306
450	1891	2302
451	1895	2298
452	1899	2294
453	1903	2289
454	1907	2285
455	1912	2281
456	1916	2277
457	1920	2272
458	1924	2268
459	1928	2263
460	1932	2259
461	1936	2254
462	1940	2250
463	1944	2246
464	1949	2242
465	1952	2237
466	1957	2233
467	1962	2230
468	1967	2227
469	1973	2225
470	1977	2221
471	1982	2218
472	1987	2214
473	1991	2210
474	1995	2205
475	1999	2201
476	2004	2197
477	2008	2193
478	2012	2188
479	2016	2184
480	2020	2180
481	2024	2175
482	2028	2171
483	2032	2167
484	2036	2162
485	2041	2158
486	2045	2154
487	2049	2149
488	2053	2145
489	2057	2141
490	2061	2136
491	2065	2132
492	2069	2127
493	2073	2123
494	2077	2119
495	2081	2115
496	2085	2110
497	2090	2107
498	2094	2103
499	2099	2099
500	2103	2095
501	2107	2090
502	2111	2086
503	2116	2082
504	2120	2078
505	2124	2074
506	2128	2069
507	2133	2066
508	2137	2061
509	2141	2057
510	2145	2053
511	2149	2048
512	2154	2045
513	2158	2040
514	2163	2037
515	2167	2033
516	2171	2028
517	2175	2024
518	2179	2020
519	2184	2016
520	2188	2012
521	2193	2008
522	2197	2004
523	2201	2000
524	2205	1995
525	2210	1991
526	2214	1987
527	2218	1983
528	2222	1979
529	2226	1974
530	2230	1970
531	2234	1965
532	2238	1961
533	2243	1957
534	2247	1953
535	2251	1948
536	2255	1944
537	2259	1940
538	2263	1936
539	2268	1932
540	2272	1927
541	2275	1923
542	2280	1919
543	2284	1914
544	2288	1910
545	2292	1906
546	2297	1902
547	2301	1897
548	2305	1894
549	2309	1889
550	2313	1885
551	2317	1880
552	2321	1876
553	2325	1872
554	2329	1868
555	2334	1864
556	2338	1860
557	2342	1855
558	2347	1851
559	2351	1847
560	2355	1843
561	2359	1838
562	2363	1834
563	2368	1830
564	2372	1826
565	2376	1821
566	2380	1817
567	2384	1813
568	2388	1808
569	2392	1804
570	2397	1800
571	2401	1796
572	2406	1793
573	2410	1788
574	2414	1784
575	2418	1780
576	2422	1776
577	2427	1772
578	2432	1768
579	2437	1764
580	2441	1760
581	2445	1756
582	2450	1752
583	2454	1748
584	2458	1744
585	2463	1740
586	2467	1736
587	2472	1732
588	2475	1727
589	2480	1723
590	2485	1719
591	2489	1715
592	2493	1711
593	2497	1707
594	2502	1703
595	2506	1698
596	2510	1694
597	2515	1690
598	2518	1686
599	2522	1681
600	2526	1677
601	2530	1673
602	2535	1669
603	2539	1665
604	2543	1660
605	2547	1656
606	2552	1652
607	2557	1648
608	2561	1644
609	2565	1640
610	2568	1635
611	2572	1631
612	2576	1626
613	2580	1622
614	2585	1618
615	2589	1614
616	2593	1610
617	2598	1605
618	2602	1601
619	2606	1597
620	2610	1593
621	2615	1589
622	2619	1585
623	2623	1580
624	2627	1576
625	2631	1572
626	2636	1568
627	2641	1564
628	2645	1560
629	2649	1555
630	2653	1551
631	2658	1547
632	2662	1543
633	2666	1539
634	2670	1534
635	2674	1530
636	2678	1526
637	2683	1522
638	2687	1518
639	2692	1514
640	2697	1510
641	2701	1506
642	2706	1502
643	2710	1498
644	2714	1494
645	2718	1489
646	2722	1485
647	2726	1481
648	2731	1477
649	2735	1472
650	2739	1468
651	2743	1464
652	2747	1460
653	2753	1456
654	2757	1452
655	2761	1448
656	2765	1443
657	2769	1439
658	2773	1435
659	2777	1430
660	2782	1426
661	2786	1422
662	2790	1418
663	2795	1414
664	2799	1410
665	2802	1405
666	2807	1401
667	2811	1397
668	2815	1392
669	2819	1388
670	2822	1384
671	2826	1379
672	2830	1375
673	2834	1371
674	2838	1366
675	2843	1362
676	2847	1358
677	2851	1354
678	2855	1350
679	2860	1345
